"lang"
{
"Language"	"norwegian"
"LunchRoomLine1"	"Christian, jeg kan ikke stoppe å tenke på deg. Fra det øyeblikket jeg først så deg i lunsjrommet forstod jeg at du var den rette. Ut i fra de fettete kyllingvingene som sakte gned over leppene dine ---------- du er en veldig mektig mann. Jeg håper å se deg der samme tid i morgen. Jeg vil holde øye med deg..."
"[english]LunchRoomLine1"	"Christian, I can't stop thinking about you. From the moment I first saw you in the lunch room, I knew, you were the one. From the greasy chicken wings slowly rubbing your lips ---------- you're a very powerful man. I hope to see you there the same time tomorrow. I'll be watching..."
"AdmirerName"	"Din beundrer"
"[english]AdmirerName"	"Your admirer"
"AdmirerAccount"	"Beundrer < anonymous@arque.local >"
"[english]AdmirerAccount"	"Admirer < anonymous@arque.local >"
"WilliamShortAccount"	"William Short < william.short@arque.local >"
"[english]WilliamShortAccount"	"William Short < william.short@arque.local >"
"WilliamShortSig"	"William Short, linjeleder."
"[english]WilliamShortSig"	"William Short, Line Manager."
"WilliamShortTitle"	"SV: Trakassering"
"[english]WilliamShortTitle"	"RE: Harassment"
"WilliamShortSummary"	"Christian, jeg har rapportert dette..."
"[english]WilliamShortSummary"	"Christian, I've reported this to HR..."
"WilliamShortLine1"	"Hei Christian,"
"[english]WilliamShortLine1"	"Hi Christian,"
"WilliamShortLine2"	"Jeg har rapportert dette til personalavdelingen og intern støtte, de vil forsøke å spore opp denne \"beundreren\"."
"[english]WilliamShortLine2"	"I've reported this to HR and Internal Support, they're going to try and track down the \"admirer\"."
"WilliamShortLine3"	"Du må innrømme at hele denne affæren er hysterisk morsom..."
"[english]WilliamShortLine3"	"You have to admit this whole thing is hilarious..."
"ChrisLine1"	"Hei Will,"
"[english]ChrisLine1"	"Hi Will,"
"ChrisLine2"	"Jeg får stadig disse særs merkelige e-postene fra noen som fremstår som min \"beundrer\", de kommer fra anonymous@arque.local også."
"[english]ChrisLine2"	"I keep getting these very odd emails from someone claiming to be my \"admirer\", they're coming from anonymous@arque.local too."
"ChrisLine3"	"Her er et utdrag fra en:"
"[english]ChrisLine3"	"Here's an excerpt from one:"
"ChrisLine4"	"Jeg vet at vi har hatt noen uoverensstemmelser i det siste, men jeg trenger hjelp med dette... til å begynne med var det rart, nå er det rett og slett skummelt. Kan dette telles som en offisiell klage?"
"[english]ChrisLine4"	"I appreciate that we've had our differences recently, but I need help with this... at first it was weird, now it's downright scary. Can this count as an official complaint?"
"ChrisLine5"	"Christian"
"[english]ChrisLine5"	"Christian"
"MeetMeTitle"	"Hvorfor møtte du meg ikke?"
"[english]MeetMeTitle"	"Why didn't you meet me?"
"MeetMeSummary"	"Jeg var mutters alene i..."
"[english]MeetMeSummary"	"I was all alone in the..."
"MeetMeLine1"	"Jeg var mutters alene i lunsjrommet, jeg ville se deg spise men du kom ikke! Skremmer jeg deg?"
"[english]MeetMeLine1"	"I was all alone in the lunch room, I wanted to watch you eat but you didn't come! Am I creeping you out?"
"MeetMeLine2"	"Jeg lover at jeg ikke er slik, men hei, vi kan prøve igjen i morgen. Jeg vil vente på deg."
"[english]MeetMeLine2"	"I promise I'm not like that, look, we can try it again tomorrow. I'll be waiting."
"HandledTheManagerTitle"	"Jeg så måten du behandlet sjefen på"
"[english]HandledTheManagerTitle"	"I saw the way you handled the manager"
"HandledTheManagerSummary"	"Jeg likte virkelig..."
"[english]HandledTheManagerSummary"	"I really liked the..."
"HandledTheManagerLine1"	"Jeg likte virkelig måten du behandlet sjefen på i dag, du er et beist når du er sint. Jeg likte måten svetten trillet rett av den andre haken din... det ligger bare noe ved det."
"[english]HandledTheManagerLine1"	"I really liked the way you handled the manager today, you are a beast when you're angry. I liked the way the sweat rolled off your second chin... there's just something about that."
"JonathanBillyName"	"Jonathan Billy"
"[english]JonathanBillyName"	"Jonathan Billy"
"JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"[english]JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"JonathanBillyLine1"	"er du på skift på fredag"
"[english]JonathanBillyLine1"	"are u on shift on friday"
"JonathanBillyLine2"	"dattern min har svømekonkurranse og kona sier jg må gå dit. kan du dekke skifte mitt"
"[english]JonathanBillyLine2"	"my dauter has a swiming competiton and wife say that i hav 2 go. can u cover my shift"
"JonathanBillyLine3"	"takk"
"[english]JonathanBillyLine3"	"thanks"
"JonathanBillyLine4"	"fra jono"
"[english]JonathanBillyLine4"	"from jono"
"DavidGravenName"	"David Graven"
"[english]DavidGravenName"	"David Graven"
"DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"[english]DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"DavidGravenTitle1"	"SV: fredag"
"[english]DavidGravenTitle1"	"RE: friday"
"DavidGravenTitle2"	"Bokser"
"[english]DavidGravenTitle2"	"Boxes"
"DavidGravenSummary1"	"Den er grei, kos deg :)"
"[english]DavidGravenSummary1"	"That's fine, enjoy the day :)"
"DavidGravenSummary2"	"Kan vi flytte noen av boksene"
"[english]DavidGravenSummary2"	"Can we shift some of the boxes"
"DavidGravenEmail1"	"Jono,"
"[english]DavidGravenEmail1"	"Jono,"
"DavidGravenEmail2"	"Kan vi flytte noen av boksene til varehuset på Arque East? De sier at det skal komme flere, men vi kan ikke få plass til så mange flere her inne - med tanke på de store kassene med forsyninger også. Jeg skal snakke med Jeff om saken... de skal visst flytte noen til overetasjen på et eller annet tidspunkt."
"[english]DavidGravenEmail2"	"Can we shift some of the boxes to the warehouse at Arque East? They say there are more to come but we can't fit many more in here - what with the large supply crates too. I'll speak to Jeff about it... they're meant to be taking some upstairs at some point."
"DavidGravenSig"	"Dave"
"[english]DavidGravenSig"	"Dave"
"JonathanBillyTitle"	"fredag"
"[english]JonathanBillyTitle"	"friday"
"JeffHerbandTitle"	"Innkommende..."
"[english]JeffHerbandTitle"	"Incoming..."
"JeffHerbandSummary"	"Det er flere innkommende bokser"
"[english]JeffHerbandSummary"	"There are more boxes incoming"
"JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"[english]JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"JeffHerbandName"	"Jeff Herband"
"[english]JeffHerbandName"	"Jeff Herband"
"JeffHerbandSig"	"Arque West, lagersjef"
"[english]JeffHerbandSig"	"Arque West, Warehouse Manager"
"JeffHerbandLine1"	"Det er flere innkommende bokser. Bare husk å holde dem sikre, vi vil ikke at ting skal ødelegges."
"[english]JeffHerbandLine1"	"There are more boxes incoming. Just remember to keep them secure, we don't want stuff breaking."
"WentworthHeraldTitle"	"Wentworth Herald"
"[english]WentworthHeraldTitle"	"Wentworth Herald"
"WentworthHeraldTagline"	"Førstevalget for nyheter, sladder, sport, showbiz, arbeidsliv og kryssord. Det er din avis, ditt liv."
"[english]WentworthHeraldTagline"	"The first for news, gossip, sport, showbiz, business and crosswords. It's your newspaper, your life."
"MoreOnPage7"	"Mer på side 7"
"[english]MoreOnPage7"	"More on page 7"
"MoreOnPage10"	"Mer på side 10"
"[english]MoreOnPage10"	"More on page 10"
"LighthouseDecomissionedTitle"	"Fyrtårn tatt ut av drift"
"[english]LighthouseDecomissionedTitle"	"Lighthouse Decommissioned"
"LighthouseDecomissionedParagraph1"	"Fyrtårnet på knausen i Redton vil bli tatt ut av drift av den lokale borgermesteren John Menn, etter en granskning foretatt av kystvakten."
"[english]LighthouseDecomissionedParagraph1"	"The lighthouse situated in Redton on the land outjut is set to be decommissioned by the local mayor John Menn, following an investigation carried out by the coastguard."
"LighthouseDecomissionedParagraph2"	"\"Vi er sikre på at dette ikke vil påvirke den passerende trafikken\", kommenterte Bill Hayak fra Instituttet for Maritim Trafikkgranskning. \"Selv om man en gang kunne se lasteskip like utenfor Redtons kyst er ikke dette lenger tilfellet siden fraktruter fra fastlandet har blitt endret\", la han til."
"[english]LighthouseDecomissionedParagraph2"	"\"We're confident that this won't impact any passing traffic\" commented Bill Hayak of the Department of Maritime Traffic Investigation. \"Whilst at one time you could see cargo ships just off the coast of Redton, now it's no longer the case with shipping routes from the mainland being altered\" he added."
"LighthouseDecomissionedParagraph3"	"Ved forespørsel så nektet borgermesteren å kommentere før han har utgitt en offisiell uttalelse angående stengingen av fyrtårnet."
"[english]LighthouseDecomissionedParagraph3"	"When questioned the mayor refused to comment until he had released an official statement about the closure of the lighthouse."
"LighthouseDecomissionedParagraph4"	"Lokale innbyggere er ikke glade for endringen, og en lokal innbygger var bekymret over hvilken effekt det vil ha på mindre handelsfartøy som fremdeles går i havn ved øya, og bemerker det som den siste spikeren i kista for øyas stille havn. \"Det stopper en hel del av øyas virksomhet\", sa han."
"[english]LighthouseDecomissionedParagraph4"	"Local residents aren't happy with the change, one local resident was concerned about its effects on small trade vessels that still port at the island, saying that it was the final nail in the coffin for the island's quiet dock. \"It stops a lot of the island's business\" he said."
"LighthouseDecomissionedParagraph5"	"Noen ganger er fyrtårnet det eneste som tillater mindre fartøy å komme for å handle med lokale bedrifter, det er noe vi alle er bekymret over - hva skjer når det ikke blir igjen noen importvirksomhet?"
"[english]LighthouseDecomissionedParagraph5"	"Sometimes the lighthouse is the only thing that allows smaller vessels to come and trade with local businesses, it's something that we're all worried about - what happens when there's no import business left here?"
"LighthouseDecomissionedQuote"	"\"For få\" skip til å være et sikkerhetsproblem, sier kystvakten"
"[english]LighthouseDecomissionedQuote"	"\"Too few\" ships to be safety issue, says coastguard"
"LostTitle"	"Savnet"
"[english]LostTitle"	"Lost"
"LostParagraph1"	"To uker har gått siden den lokale Arcque-ansatte Christian Plithe mistet sin sorte katt, \"Lucky\". Han har oppfordret alle som måtte se katten om å kontakte ham umiddelbart."
"[english]LostParagraph1"	"Two weeks have gone by since local Arque employee Christian Plithe lost his black cat 'Lucky'. He has urged anyone who sees the cat to contact him immediately."
"ScarecrowCompetitionTitle"	"Lokal konkurranse er i gang"
"[english]ScarecrowCompetitionTitle"	"Local Scarecrow Competition Underway"
"ScarecrowCompetitionParagraph1"	"En av de mest populære konkurransene Redton avholder er tilbake for sitt årlige arrangement."
"[english]ScarecrowCompetitionParagraph1"	"One of the most popular competitions Redton holds is back for its annual event."
"ScarecrowCompetitionParagraph2"	"Samfunnet kommer sammen hvert år for å skape de mest skremmende og uhyggelige fugleskremslene de kan for å holde fuglene unna. Fjorårets vinner var den åtte år gamle skolegutten, Joshua Fentons, med hans representasjon av bestemoren sin som overbeviste dommerpanelet."
"[english]ScarecrowCompetitionParagraph2"	"The community comes together every year to create the most fearsome and ghoulish scarecrows to keep away the birds. Last year's winner was eight year old local school boy Joshua Fenton who's representation of his Grandmother won over the panel of judges."
"ScarecrowCompetitionParagraph3"	"I år vil vinneren av konkurransen motta en prydelig samling av kaker fra Julia Menn, borgermesterens kone, som nylig åpnet hennes egen kakebutikk på øya."
"[english]ScarecrowCompetitionParagraph3"	"This year the winner of the competition gets a fine selection of cakes from Julia Menn, the mayor's wife who recently opened her own cake shop on the island."
"ScarecrowCompetitionParagraph4"	"Festlighetene stopper ikke med bare fugleskremslene som er til utstilling - hele uken finnes det boder og andre aktiviteter som finner sted over hele byen. Dersom du ikke har sett fugleskremslene ennå, dra ned til det årlige arrangementet for å se hva alt oppstyret handler om, og smake noe av det beste innen mat og drikke som Redton har å tilby."
"[english]ScarecrowCompetitionParagraph4"	"The festivities don't stop with the scarecrows - that are on display all week, there are stalls and other activities taking place all across the town. If you haven't seen the scarecrows yet head on down to the annual event to see what all the fuss is about and sample some of the finest food and drink Redton has to offer."
"ScarecrowCompetitionParagraph5"	"Dersom du ikke kan reise ned for å se på fugleskremslene, sjekk ut neste utgave hvor vi vil ha en fullstendig oversikt over bidragene."
"[english]ScarecrowCompetitionParagraph5"	"If you can't get down to see the scarecrows check out the next issue, where we will have a full run down of the entries."
"OmnicorpTitle"	"Arque Corporation kjøper opp Phillips Pharmaceuticals"
"[english]OmnicorpTitle"	"Arque Corporation Acquires Phillips Pharmaceuticals"
"OmnicorpParagraph1"	"Tretti arbeidere ble gitt varsler tidlig forrige uke i det giganten Arque Corporation sluttførte sitt oppkjøp av den lokale farmasøytiske produsenten Phillips Pharmaceuticals. Oppkjøpet følger et veldig offentlig sammenbrudd av den tidligere eieren som resulterte i et søk etter investorer."
"[english]OmnicorpParagraph1"	"Thirty workers were handed notices early last week as the giant Arque Corporation completed its acquisition of local pharmaceutical manufacturer Phillips Pharmaceuticals. The buyout follows a very public breakdown of the previous owner, resulting in a search for investors."
}
}
