"lang"
{
"Language"	"polish"
"[english]LunchRoomSummary"	"Christian, I can't stop..."
"LunchRoomLine1"	"Christian, nie mogę przestać o tobie myśleć. Od pierwszej chwili, w której cię zobaczyłam na stołówce wiedziałam, że jesteś tym jedynym. Od śliskich skrzydełek kurczaka powoli ocierających twoje wargi ---------- jesteś bardzo wpływowym mężczyzną. Mam nadzieję zobaczyć cię tam jutro o tej samej porze. Będę się przyglądać..."
"[english]LunchRoomLine1"	"Christian, I can't stop thinking about you. From the moment I first saw you in the lunch room, I knew, you were the one. From the greasy chicken wings slowly rubbing your lips ---------- you're a very powerful man. I hope to see you there the same time tomorrow. I'll be watching..."
"AdmirerName"	"Twoja wielbicielka"
"[english]AdmirerName"	"Your admirer"
"AdmirerAccount"	"Wielbicielka < anonymous@arque.local >"
"[english]AdmirerAccount"	"Admirer < anonymous@arque.local >"
"WilliamShortAccount"	"William Short < william.short@arque.local >"
"[english]WilliamShortAccount"	"William Short < william.short@arque.local >"
"WilliamShortSig"	"William Short, bezpośredni przełożony."
"[english]WilliamShortSig"	"William Short, Line Manager."
"WilliamShortTitle"	"ODP: Nękanie"
"[english]WilliamShortTitle"	"RE: Harassment"
"WilliamShortSummary"	"Christian, zgłosiłem sprawę do działu kadr..."
"[english]WilliamShortSummary"	"Christian, I've reported this to HR..."
"WilliamShortLine1"	"Cześć, Christian"
"[english]WilliamShortLine1"	"Hi Christian,"
"WilliamShortLine2"	"Zgłosiłem to do kadr i obsługi. Spróbują znaleźć tę „wielbicielkę”."
"[english]WilliamShortLine2"	"I've reported this to HR and Internal Support, they're going to try and track down the \"admirer\"."
"WilliamShortLine3"	"Muszę przyznać, że cała ta sprawa jest zabawna..."
"[english]WilliamShortLine3"	"You have to admit this whole thing is hilarious..."
"ChrisLine1"	"Cześć, Will"
"[english]ChrisLine1"	"Hi Will,"
"ChrisLine2"	"Wciąż dostaję te bardzo dziwne e-maile od kogoś określającego się mianem mojej „wielbicielki”. Przychodzą z adresu anonymous@arque.local."
"[english]ChrisLine2"	"I keep getting these very odd emails from someone claiming to be my \"admirer\", they're coming from anonymous@arque.local too."
"ChrisLine3"	"Oto fragment jednego z nich:"
"[english]ChrisLine3"	"Here's an excerpt from one:"
"ChrisLine5"	"Christian"
"[english]ChrisLine5"	"Christian"
"MeetMeTitle"	"Dlaczego się ze mną nie spotkałeś?"
"[english]MeetMeTitle"	"Why didn't you meet me?"
"MeetMeSummary"	"Byłam sama na..."
"[english]MeetMeSummary"	"I was all alone in the..."
"MeetMeLine1"	"Byłam sama na stołówce i chciałam zobaczyć jak się posilasz, ale ty nie przyszedłeś! Odstraszam cię?"
"[english]MeetMeLine1"	"I was all alone in the lunch room, I wanted to watch you eat but you didn't come! Am I creeping you out?"
"MeetMeLine2"	"Obiecuję, że nie jestem z tych. Proszę, spróbujmy jutro. Będę czekała."
"[english]MeetMeLine2"	"I promise I'm not like that, look, we can try it again tomorrow. I'll be waiting."
"HandledTheManagerTitle"	"Widziałam, w jaki sposób poradziłeś sobie z menedżerem"
"[english]HandledTheManagerTitle"	"I saw the way you handled the manager"
"HandledTheManagerSummary"	"Spodobał mi się..."
"[english]HandledTheManagerSummary"	"I really liked the..."
"HandledTheManagerLine1"	"Naprawdę podobało mi się, jak poradziłeś sobie dzisiaj z tym managerem. Jesteś niesamowity, gdy się złościsz. Podobało mi się, jak pot spływał po twoim podwójnym podbródku... coś w tym po prostu jest."
"[english]HandledTheManagerLine1"	"I really liked the way you handled the manager today, you are a beast when you're angry. I liked the way the sweat rolled off your second chin... there's just something about that."
"JonathanBillyName"	"Jonathan Billy"
"[english]JonathanBillyName"	"Jonathan Billy"
"JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"[english]JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"JonathanBillyLine1"	"czy pracujesz w piatek"
"[english]JonathanBillyLine1"	"are u on shift on friday"
"JonathanBillyLine2"	"moja curka ma zawody plywackie i zona mowi, ze musze na nie isc. mozesz wziac moja zmiane"
"[english]JonathanBillyLine2"	"my dauter has a swiming competiton and wife say that i hav 2 go. can u cover my shift"
"JonathanBillyLine3"	"podziekowania"
"[english]JonathanBillyLine3"	"thanks"
"JonathanBillyLine4"	"od jono"
"[english]JonathanBillyLine4"	"from jono"
"DavidGravenName"	"David Graven"
"[english]DavidGravenName"	"David Graven"
"DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"[english]DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"DavidGravenTitle1"	"RE: piatek"
"[english]DavidGravenTitle1"	"RE: friday"
"DavidGravenTitle2"	"Paczki"
"[english]DavidGravenTitle2"	"Boxes"
"DavidGravenSummary1"	"W porządku, baw się dobrze :)"
"[english]DavidGravenSummary1"	"That's fine, enjoy the day :)"
"DavidGravenSummary2"	"Czy możemy przenieść trochę paczek"
"[english]DavidGravenSummary2"	"Can we shift some of the boxes"
"DavidGravenEmail1"	"Jono,"
"[english]DavidGravenEmail1"	"Jono,"
"DavidGravenEmail2"	"Możemy przenieść część skrzyń do magazynu Arque East? Słyszałem, że ma ich przyjść jeszcze więcej, a tu ich nie pomieścimy, zwłaszcza że mamy też te duże skrzynie z zaopatrzeniem. Porozmawiam o tym z Jeffem... część z nich mają zabrać na górę."
"[english]DavidGravenEmail2"	"Can we shift some of the boxes to the warehouse at Arque East? They say there are more to come but we can't fit many more in here - what with the large supply crates too. I'll speak to Jeff about it... they're meant to be taking some upstairs at some point."
"DavidGravenSig"	"Dave"
"[english]DavidGravenSig"	"Dave"
"JonathanBillyTitle"	"piatek"
"[english]JonathanBillyTitle"	"friday"
"JeffHerbandTitle"	"Dostawa..."
"[english]JeffHerbandTitle"	"Incoming..."
"JeffHerbandSummary"	"Spodziewamy się kolejnych paczek"
"[english]JeffHerbandSummary"	"There are more boxes incoming"
"JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"[english]JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"JeffHerbandName"	"Jeff Herband"
"[english]JeffHerbandName"	"Jeff Herband"
"JeffHerbandSig"	"Arque West, kierownik magazynu"
"[english]JeffHerbandSig"	"Arque West, Warehouse Manager"
"JeffHerbandLine1"	"Wysłali więcej skrzyń. Pamiętaj, żeby je zabezpieczyć. Nie chcemy, żeby coś się uszkodziło."
"[english]JeffHerbandLine1"	"There are more boxes incoming. Just remember to keep them secure, we don't want stuff breaking."
"WentworthHeraldTitle"	"Wentworth Herald"
"[english]WentworthHeraldTitle"	"Wentworth Herald"
"MoreOnPage7"	"Więcej na stronie 7"
"[english]MoreOnPage7"	"More on page 7"
"MoreOnPage10"	"Więcej na stronie 10"
"[english]MoreOnPage10"	"More on page 10"
"LighthouseDecomissionedTitle"	"Latarnia morska zamknięta"
"[english]LighthouseDecomissionedTitle"	"Lighthouse Decommissioned"
"LostTitle"	"Zguba"
"[english]LostTitle"	"Lost"
}
}
