"lang"
{
"Language"	"korean"
"LunchRoomLine1"	"크리스티안, 난 당신을 지켜보는 걸 멈출 수 없어요. 당신을 식사실에서 봤을 때 당신이 바로 그 사람이라는 것을 알았죠. 기름진 닭날개 튀김이 당신의 입술을 따라 미끄러지는 그 때 ---------- 당신은 역시 끌리는 남자에요. 내일도 같은 곳에서 같은 때에 당신을 보길 바래요. 지켜보고 있을게요..."
"[english]LunchRoomLine1"	"Christian, I can't stop thinking about you. From the moment I first saw you in the lunch room, I knew, you were the one. From the greasy chicken wings slowly rubbing your lips ---------- you're a very powerful man. I hope to see you there the same time tomorrow. I'll be watching..."
"AdmirerName"	"당신의 추종자"
"[english]AdmirerName"	"Your admirer"
"AdmirerAccount"	"추종자 < anonymous@arque.local >"
"[english]AdmirerAccount"	"Admirer < anonymous@arque.local >"
"WilliamShortAccount"	"윌리엄 쇼트 < william.short@arque.local >"
"[english]WilliamShortAccount"	"William Short < william.short@arque.local >"
"WilliamShortSig"	"윌리엄 쇼트, 생산 라인 관리자."
"[english]WilliamShortSig"	"William Short, Line Manager."
"WilliamShortTitle"	"RE: 괴롭힘"
"[english]WilliamShortTitle"	"RE: Harassment"
"WilliamShortSummary"	"크리스티안, 이 사건을 관리실에 통보..."
"[english]WilliamShortSummary"	"Christian, I've reported this to HR..."
"WilliamShortLine1"	"친애하는 크리스티안에게,"
"[english]WilliamShortLine1"	"Hi Christian,"
"WilliamShortLine2"	"내가 이 사건을 관리실과 내부 지원팀에 통보했는데 그들이 이 '추종자'를 추적할 거래."
"[english]WilliamShortLine2"	"I've reported this to HR and Internal Support, they're going to try and track down the \"admirer\"."
"WilliamShortLine3"	"그래도 이거 참 웃긴데..."
"[english]WilliamShortLine3"	"You have to admit this whole thing is hilarious..."
"ChrisLine1"	"윌리엄에게,"
"[english]ChrisLine1"	"Hi Will,"
"ChrisLine2"	"전이랑 같은 주소인 anonymous@arque.local에서 이 '추종자'라는 사람이 계속 요상한 이메일을 보내고 있어요."
"[english]ChrisLine2"	"I keep getting these very odd emails from someone claiming to be my \"admirer\", they're coming from anonymous@arque.local too."
"ChrisLine3"	"여기 예를 하나 보여드리죠:"
"[english]ChrisLine3"	"Here's an excerpt from one:"
"ChrisLine4"	"저번에도 그런 저런 사건이 있었지만, 전 도움이 필요해요... 처음에는 이상했는데 이젠 무섭기까지 하다고요. 이게 공식적인 의견으로 받아들여질까요?"
"[english]ChrisLine4"	"I appreciate that we've had our differences recently, but I need help with this... at first it was weird, now it's downright scary. Can this count as an official complaint?"
"ChrisLine5"	"크리스티안"
"[english]ChrisLine5"	"Christian"
"MeetMeTitle"	"왜 날 만나지 않은 거야?"
"[english]MeetMeTitle"	"Why didn't you meet me?"
"MeetMeSummary"	"난 혼자서..."
"[english]MeetMeSummary"	"I was all alone in the..."
"MeetMeLine1"	"난 혼자서 식사실에 있었어. 네가 먹는 걸 지켜보고 싶었지만 오지 않았잖아! 내가 너한테는 무섭니?"
"[english]MeetMeLine1"	"I was all alone in the lunch room, I wanted to watch you eat but you didn't come! Am I creeping you out?"
"MeetMeLine2"	"난 그렇게 못생기진 않았는데 말야. 내일은 올 거지? 기다릴게."
"[english]MeetMeLine2"	"I promise I'm not like that, look, we can try it again tomorrow. I'll be waiting."
"HandledTheManagerTitle"	"네가 그 관리자를 대하는 걸 봤어"
"[english]HandledTheManagerTitle"	"I saw the way you handled the manager"
"HandledTheManagerSummary"	"난 그..."
"[english]HandledTheManagerSummary"	"I really liked the..."
"HandledTheManagerLine1"	"네가 그 관리자를 대하는 걸 오늘 봤어. 넌 화날 때는 완전히 야수가 되던데. 이중 턱에서 땀이 흘러내린 그 때... 뭔가 기분이 좀 그렇더라."
"[english]HandledTheManagerLine1"	"I really liked the way you handled the manager today, you are a beast when you're angry. I liked the way the sweat rolled off your second chin... there's just something about that."
"JonathanBillyName"	"조나단 빌리"
"[english]JonathanBillyName"	"Jonathan Billy"
"JonathanBillyAccount"	"조나단 빌리 < jonathan.billy@arque.local >"
"[english]JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"JonathanBillyLine1"	"금요일에 근무함?"
"[english]JonathanBillyLine1"	"are u on shift on friday"
"JonathanBillyLine2"	"아내가 딸 수영대회만은 꼭 가야된다고 함. 근무 좀 대신 서줘"
"[english]JonathanBillyLine2"	"my dauter has a swiming competiton and wife say that i hav 2 go. can u cover my shift"
"JonathanBillyLine3"	"고마워"
"[english]JonathanBillyLine3"	"thanks"
"JonathanBillyLine4"	"조나단"
"[english]JonathanBillyLine4"	"from jono"
"DavidGravenName"	"데이비드 그레이븐"
"[english]DavidGravenName"	"David Graven"
"DavidGravenAccount"	"데이비드 그레이븐 < david.graven@arque.local >"
"[english]DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"DavidGravenTitle1"	"RE: 금요일"
"[english]DavidGravenTitle1"	"RE: friday"
"DavidGravenTitle2"	"상자"
"[english]DavidGravenTitle2"	"Boxes"
"DavidGravenSummary1"	"그러지 뭐, 즐기다 와 :)"
"[english]DavidGravenSummary1"	"That's fine, enjoy the day :)"
"DavidGravenSummary2"	"상자를 보낼 수 있을까"
"[english]DavidGravenSummary2"	"Can we shift some of the boxes"
"DavidGravenEmail1"	"조나단,"
"[english]DavidGravenEmail1"	"Jono,"
"DavidGravenEmail2"	"아르크 동부 창고로 상자를 보내면 안될까? 상자가 더 온다는데 여기엔 더 이상 자리가 없어 - 특히 그 큰 보급 상자 때문에. 제프에게 물어봐야겠어... 이 상자들을 언젠간 위층으로 옮겨야 될 거야."
"[english]DavidGravenEmail2"	"Can we shift some of the boxes to the warehouse at Arque East? They say there are more to come but we can't fit many more in here - what with the large supply crates too. I'll speak to Jeff about it... they're meant to be taking some upstairs at some point."
"DavidGravenSig"	"데이비드"
"[english]DavidGravenSig"	"Dave"
"JonathanBillyTitle"	"금요일"
"[english]JonathanBillyTitle"	"friday"
"JeffHerbandTitle"	"상자 전송"
"[english]JeffHerbandTitle"	"Incoming..."
"JeffHerbandSummary"	"상자가 곧 도착할것임"
"[english]JeffHerbandSummary"	"There are more boxes incoming"
"JeffHerbandAccount"	"제프 허밴드 < jeff.herband@arque.local >"
"[english]JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"JeffHerbandName"	"제프 허밴드"
"[english]JeffHerbandName"	"Jeff Herband"
"JeffHerbandSig"	"아르크 서부, 창고 관리자"
"[english]JeffHerbandSig"	"Arque West, Warehouse Manager"
"JeffHerbandLine1"	"상자가 곧 도착할거야. 조심하게 다루는 거 잊지 마, 아무도 문제가 생기는 걸 바라지는 않겠지."
"[english]JeffHerbandLine1"	"There are more boxes incoming. Just remember to keep them secure, we don't want stuff breaking."
"WentworthHeraldTitle"	"웬트워스 일간지"
"[english]WentworthHeraldTitle"	"Wentworth Herald"
"WentworthHeraldTagline"	"소식통, 스포츠, 유명 인사, 사업 그리고 단어 퍼즐까지.
당신의 신문이 당신의 삶입니다."
"[english]WentworthHeraldTagline"	"The first for news, gossip, sport, showbiz, business and crosswords. It's your newspaper, your life."
"MoreOnPage7"	"7페이지에서 계속"
"[english]MoreOnPage7"	"More on page 7"
"MoreOnPage10"	"10페이지에서 계속"
"[english]MoreOnPage10"	"More on page 10"
"LighthouseDecomissionedTitle"	"버려진 등대"
"[english]LighthouseDecomissionedTitle"	"Lighthouse Decommissioned"
"LighthouseDecomissionedParagraph1"	"레드턴의 돌출형 지형에 위치한 등대가 해안 경비대의 조사 이후 마을 시장 존 멘이 이를 폐쇄할 것을 밝혔습니다."
"[english]LighthouseDecomissionedParagraph1"	"The lighthouse situated in Redton on the land outjut is set to be decommissioned by the local mayor John Menn, following an investigation carried out by the coastguard."
"LighthouseDecomissionedParagraph2"	"\"우리는 이번 사건이 교통에 방해가 되지 않을 거라고 확신합니다.\"라고 해양교통조사단의 빌 하야크씨께서 의견을 표명했습니다. \"레드턴 주변에서 가끔씩 보던 화물선도 항로가 바뀌었기 때문에 걱정할 필요가 없습니다.\"라고 더했습니다."
"[english]LighthouseDecomissionedParagraph2"	"\"We're confident that this won't impact any passing traffic\" commented Bill Hayak of the Department of Maritime Traffic Investigation. \"Whilst at one time you could see cargo ships just off the coast of Redton, now it's no longer the case with shipping routes from the mainland being altered\" he added."
"LighthouseDecomissionedParagraph3"	"마을 시장은 등대의 폐쇄에 대해 공식 발표를 하기 전에는 의견을 표명하지 않을 것을 밝혔습니다."
"[english]LighthouseDecomissionedParagraph3"	"When questioned the mayor refused to comment until he had released an official statement about the closure of the lighthouse."
"LighthouseDecomissionedParagraph4"	"한편 주민들은 이 변화에 대해 부정적입니다. 한 주민은 '이 섬의 많은 사업들을 멈추는 일이오.'라고 말하며 섬에 정박하는 작은 거래용 배들에 끼칠 영항이 우려되고 섬의 조용한 항구에 못을 박는 일이라고 밝혔습니다."
"[english]LighthouseDecomissionedParagraph4"	"Local residents aren't happy with the change, one local resident was concerned about its effects on small trade vessels that still port at the island, saying that it was the final nail in the coffin for the island's quiet dock. \"It stops a lot of the island's business\" he said."
"LighthouseDecomissionedParagraph5"	"가끔씩 작은 배들이 마을의 사업체와 거래하기 위해 정박하는 것을 등대에 의지할 때가 있는데, 이게 불가능하게 되면 이 섬은 어떻게 되는 걸까요?"
"[english]LighthouseDecomissionedParagraph5"	"Sometimes the lighthouse is the only thing that allows smaller vessels to come and trade with local businesses, it's something that we're all worried about - what happens when there's no import business left here?"
"LighthouseDecomissionedQuote"	"안전 문제라고 하기에는 '너무 적은' 배들이라고 해안 경비대가 밝힘"
"[english]LighthouseDecomissionedQuote"	"\"Too few\" ships to be safety issue, says coastguard"
"LostTitle"	"주인을 찾습니다"
"[english]LostTitle"	"Lost"
"LostParagraph1"	"마을의 아르크 주식회사 사원 크리스티안 플리스가 그의 검은 고양이 '럭키'를 잃어버린 지 2주가 지났습니다. 그의 고양이를 본 사람은 곧바로 그에게 연락할 것을 간곡히 청했습니다."
"[english]LostParagraph1"	"Two weeks have gone by since local Arque employee Christian Plithe lost his black cat 'Lucky'. He has urged anyone who sees the cat to contact him immediately."
"ScarecrowCompetitionTitle"	"허수아비 만들기 대회 진행 중"
"[english]ScarecrowCompetitionTitle"	"Local Scarecrow Competition Underway"
"ScarecrowCompetitionParagraph1"	"레드턴의 가장 유명한 대회의 때가 돌아왔습니다."
"[english]ScarecrowCompetitionParagraph1"	"One of the most popular competitions Redton holds is back for its annual event."
"ScarecrowCompetitionParagraph2"	"마을 주민 전체가 가장 공포스럽고 귀신같은 허수아비를 만들어 서로 경쟁하는 이 대회의 작년 우승자는 8살의 학생 조슈아 펜튼으로 그의 할머니를 본따 만든 허수아비가 심사위원단 평가 만장일치로 승리했습니다."
"[english]ScarecrowCompetitionParagraph2"	"The community comes together every year to create the most fearsome and ghoulish scarecrows to keep away the birds. Last year's winner was eight year old local school boy Joshua Fenton who's representation of his Grandmother won over the panel of judges."
"ScarecrowCompetitionParagraph3"	"올해의 대회에서 승리한 사람은 시장의 아내이자 섬에 새로이 케이크 가게를 열은 줄리아 멘의 케이크를 받게 될 것입니다."
"[english]ScarecrowCompetitionParagraph3"	"This year the winner of the competition gets a fine selection of cakes from Julia Menn, the mayor's wife who recently opened her own cake shop on the island."
"ScarecrowCompetitionParagraph4"	"일주일 내내 전시될 허수아비가 싫다면 각종 판매대나 행사를 경험해 보실 수도 있습니다. 아직 허수아비를 보지 않으셨다면 개최 장소로 찾아가서 레드턴의 최고의 음식과 음료를 맛보십시오."
"[english]ScarecrowCompetitionParagraph4"	"The festivities don't stop with the scarecrows - that are on display all week, there are stalls and other activities taking place all across the town. If you haven't seen the scarecrows yet head on down to the annual event to see what all the fuss is about and sample some of the finest food and drink Redton has to offer."
"ScarecrowCompetitionParagraph5"	"허수아비를 볼 시간이 없으시다면 다음 장에서 대회 참가 작품들을 볼 수 있습니다."
"[english]ScarecrowCompetitionParagraph5"	"If you can't get down to see the scarecrows check out the next issue, where we will have a full run down of the entries."
"OmnicorpTitle"	"아르크 주식회사, 필립스 제약회사 인수"
"[english]OmnicorpTitle"	"Arque Corporation Acquires Phillips Pharmaceuticals"
"OmnicorpParagraph1"	"거대 기업 아르크 주식회사가 마을의 제약회사 필립스 제약을 인수하며 30명의 직원들이 통보를 받았습니다. 필립스 제약의 소유자는 이로 인해 파산하여 현재 투자자를 모집하고 있습니다."
"[english]OmnicorpParagraph1"	"Thirty workers were handed notices early last week as the giant Arque Corporation completed its acquisition of local pharmaceutical manufacturer Phillips Pharmaceuticals. The buyout follows a very public breakdown of the previous owner, resulting in a search for investors."
}
}
