"lang"
{
"Language"	"swedish"
"LunchRoomLine1"	"Christian, jag kan inte sluta tänka på dig. Ögonblicket jag såg dig för första gången i lunchrummet visste jag att du var den rätte. Från de flottiga kycklingvingarna som långsamt knådade dina läppar ---------- du är en mycket kraftfull man. Jag hoppas att du är där samma tid imorgon. Jag kommer se på..."
"[english]LunchRoomLine1"	"Christian, I can't stop thinking about you. From the moment I first saw you in the lunch room, I knew, you were the one. From the greasy chicken wings slowly rubbing your lips ---------- you're a very powerful man. I hope to see you there the same time tomorrow. I'll be watching..."
"AdmirerName"	"Din beundrare"
"[english]AdmirerName"	"Your admirer"
"AdmirerAccount"	"Beundrare < anonym@arque.local >"
"[english]AdmirerAccount"	"Admirer < anonymous@arque.local >"
"WilliamShortAccount"	"William Short < william.short@arque.local >"
"[english]WilliamShortAccount"	"William Short < william.short@arque.local >"
"WilliamShortSig"	"William Short, linjechef."
"[english]WilliamShortSig"	"William Short, Line Manager."
"WilliamShortTitle"	"SV: Trakasserier"
"[english]WilliamShortTitle"	"RE: Harassment"
"WilliamShortSummary"	"Christian, jag har rapporterat det här till den personalansvarige..."
"[english]WilliamShortSummary"	"Christian, I've reported this to HR..."
"WilliamShortLine1"	"Hej Christian,"
"[english]WilliamShortLine1"	"Hi Christian,"
"WilliamShortLine2"	"Jag har rapporterat det här till den personalansvarige och den interna supporten säger att de ska försöka leta rätt på \"beundraren\"."
"[english]WilliamShortLine2"	"I've reported this to HR and Internal Support, they're going to try and track down the \"admirer\"."
"WilliamShortLine3"	"Du måste erkänna att hela den här grejen är ganska lustig..."
"[english]WilliamShortLine3"	"You have to admit this whole thing is hilarious..."
"ChrisLine1"	"Hej Will,"
"[english]ChrisLine1"	"Hi Will,"
"ChrisLine2"	"Jag får en massa märkliga mejl från någon som utger sig för att vara min \"beundrare\", de kommer från anonym@arque.local dessutom."
"[english]ChrisLine2"	"I keep getting these very odd emails from someone claiming to be my \"admirer\", they're coming from anonymous@arque.local too."
"ChrisLine3"	"Här är ett utdrag ur ett:"
"[english]ChrisLine3"	"Here's an excerpt from one:"
"ChrisLine4"	"Jag inser att vi har haft våra meningsskiljaktigheter på senare tid men jag behöver verkligen hjälp med det här... först var det konstigt men nu är det bara läskigt. Kan det här räknas som ett officiellt klagomål?"
"[english]ChrisLine4"	"I appreciate that we've had our differences recently, but I need help with this... at first it was weird, now it's downright scary. Can this count as an official complaint?"
"ChrisLine5"	"Christian"
"[english]ChrisLine5"	"Christian"
"MeetMeTitle"	"Varför mötte du mig inte?"
"[english]MeetMeTitle"	"Why didn't you meet me?"
"MeetMeSummary"	"Jag var helt ensam i..."
"[english]MeetMeSummary"	"I was all alone in the..."
"MeetMeLine1"	"Jag var helt ensam i lunchrummet, jag ville se dig äta men du kom aldrig! Skrämmer jag dig?"
"[english]MeetMeLine1"	"I was all alone in the lunch room, I wanted to watch you eat but you didn't come! Am I creeping you out?"
"MeetMeLine2"	"Jag lovar att jag inte är sån, kom igen, vi kan prova igen imorgon. Jag kommer vänta."
"[english]MeetMeLine2"	"I promise I'm not like that, look, we can try it again tomorrow. I'll be waiting."
"HandledTheManagerTitle"	"Jag såg hur du hanterade chefen"
"[english]HandledTheManagerTitle"	"I saw the way you handled the manager"
"HandledTheManagerSummary"	"Jag gillade verkligen..."
"[english]HandledTheManagerSummary"	"I really liked the..."
"HandledTheManagerLine1"	"Jag gillade verkligen hur du hanterade chefen idag, du är som ett odjur när du blir arg. Jag gillade sättet svetten rann över din dubbelhaka... Det bara är någonting över det."
"[english]HandledTheManagerLine1"	"I really liked the way you handled the manager today, you are a beast when you're angry. I liked the way the sweat rolled off your second chin... there's just something about that."
"JonathanBillyName"	"Jonathan Billy"
"[english]JonathanBillyName"	"Jonathan Billy"
"JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"[english]JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"JonathanBillyLine1"	"har d skift på fredag"
"[english]JonathanBillyLine1"	"are u on shift on friday"
"JonathanBillyLine2"	"min doter har simmtälving och min fru sa ja måste gå. kan d ta mitt skift"
"[english]JonathanBillyLine2"	"my dauter has a swiming competiton and wife say that i hav 2 go. can u cover my shift"
"JonathanBillyLine3"	"tack"
"[english]JonathanBillyLine3"	"thanks"
"JonathanBillyLine4"	"från jono"
"[english]JonathanBillyLine4"	"from jono"
"DavidGravenName"	"David Graven"
"[english]DavidGravenName"	"David Graven"
"DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"[english]DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"DavidGravenTitle1"	"RE: fredag"
"[english]DavidGravenTitle1"	"RE: friday"
"DavidGravenTitle2"	"Lådor"
"[english]DavidGravenTitle2"	"Boxes"
"DavidGravenSummary1"	"Det är okej, ha en bra dag :)"
"[english]DavidGravenSummary1"	"That's fine, enjoy the day :)"
"DavidGravenSummary2"	"Kan vi flytta på några lådor"
"[english]DavidGravenSummary2"	"Can we shift some of the boxes"
"DavidGravenEmail1"	"Jono,"
"[english]DavidGravenEmail1"	"Jono,"
"DavidGravenEmail2"	"Kan vi flytta på några lådor till magasinet på Östra Arque? De säger att det kommer komma fler men vi har inte plats för fler - speciellt inte med de stora förvaringslådorna. Jag ska prata med Jeff om det... de ska ta några till övervåningen någon gång."
"[english]DavidGravenEmail2"	"Can we shift some of the boxes to the warehouse at Arque East? They say there are more to come but we can't fit many more in here - what with the large supply crates too. I'll speak to Jeff about it... they're meant to be taking some upstairs at some point."
"DavidGravenSig"	"Dave"
"[english]DavidGravenSig"	"Dave"
"JonathanBillyTitle"	"fredag"
"[english]JonathanBillyTitle"	"friday"
"JeffHerbandTitle"	"På väg..."
"[english]JeffHerbandTitle"	"Incoming..."
"JeffHerbandSummary"	"Det är fler lådor på väg"
"[english]JeffHerbandSummary"	"There are more boxes incoming"
"JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"[english]JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"JeffHerbandName"	"Jeff Herband"
"[english]JeffHerbandName"	"Jeff Herband"
"JeffHerbandSig"	"Västra Arques Magasinschef"
"[english]JeffHerbandSig"	"Arque West, Warehouse Manager"
"JeffHerbandLine1"	"Det är fler lådor på väg. Kom ihåg att hålla dem säkra, vi vill inte att saker ska gå sönder."
"[english]JeffHerbandLine1"	"There are more boxes incoming. Just remember to keep them secure, we don't want stuff breaking."
"WentworthHeraldTitle"	"Wentworth-posten"
"[english]WentworthHeraldTitle"	"Wentworth Herald"
"WentworthHeraldTagline"	"Förstahandsvalet för nyheter, skvaller, sport, showbiz, affärer och korsord. Det är din tidning, ditt liv."
"[english]WentworthHeraldTagline"	"The first for news, gossip, sport, showbiz, business and crosswords. It's your newspaper, your life."
"MoreOnPage7"	"Mer på sida 7"
"[english]MoreOnPage7"	"More on page 7"
"MoreOnPage10"	"Mer på sida 10"
"[english]MoreOnPage10"	"More on page 10"
"LighthouseDecomissionedTitle"	"Fyren tas ur bruk"
"[english]LighthouseDecomissionedTitle"	"Lighthouse Decommissioned"
"LighthouseDecomissionedParagraph1"	"Fyren belägen i Redton på landutstickaren kommer att tas ur bruk på order av den lokala borgmästaren John Menn på grund av en undersökning av kustbevakningen."
"[english]LighthouseDecomissionedParagraph1"	"The lighthouse situated in Redton on the land outjut is set to be decommissioned by the local mayor John Menn, following an investigation carried out by the coastguard."
"LighthouseDecomissionedParagraph2"	"\"Vi är säkra på att detta inte drabbar förbipasserande trafik\", kommenterade Bill Hayak vid Sjötrafikverket. \"Även om man en gång i tiden kunde se godsfartyg utanför Redtons kust är det inte längre fallet, då de dragit om rutterna från fastlandet\", lade han till."
"[english]LighthouseDecomissionedParagraph2"	"\"We're confident that this won't impact any passing traffic\" commented Bill Hayak of the Department of Maritime Traffic Investigation. \"Whilst at one time you could see cargo ships just off the coast of Redton, now it's no longer the case with shipping routes from the mainland being altered\" he added."
"LighthouseDecomissionedParagraph3"	"När han tillfrågades avböjde borgmästaren att kommentera tills han förberett ett officiellt uttalande angående fyrens stängning."
"[english]LighthouseDecomissionedParagraph3"	"When questioned the mayor refused to comment until he had released an official statement about the closure of the lighthouse."
"LighthouseDecomissionedParagraph4"	"Lokala ortsbor är inte nöjda med förändringen. En invånare uttryckte oro över hur beslutet påverkar små handelsskepp som fortfarande lägger till vid ön, och säger att detta var den sista spiken i kistan för öns lugna hamn. \"Det stoppar en stor del av öns affärer\", sade han."
"[english]LighthouseDecomissionedParagraph4"	"Local residents aren't happy with the change, one local resident was concerned about its effects on small trade vessels that still port at the island, saying that it was the final nail in the coffin for the island's quiet dock. \"It stops a lot of the island's business\" he said."
"LighthouseDecomissionedParagraph5"	"Ibland är fyren det enda som låter mindre skepp komma och handla med lokala affärsverksamheter, det är något som oroar oss alla - vad händer när vi inte längre har någon import?"
"[english]LighthouseDecomissionedParagraph5"	"Sometimes the lighthouse is the only thing that allows smaller vessels to come and trade with local businesses, it's something that we're all worried about - what happens when there's no import business left here?"
"LighthouseDecomissionedQuote"	"\"För få\" skepp för att det ska bli ett säkerhetsproblem enligt kustbevakningen"
"[english]LighthouseDecomissionedQuote"	"\"Too few\" ships to be safety issue, says coastguard"
"LostTitle"	"Bortsprungen"
"[english]LostTitle"	"Lost"
"LostParagraph1"	"Två verckor har gått sedan den lokala Arque-anställde Christian Plithes svarta katt \"Lucky\" sprang bort. Han ber den som ser katten kontakta honom omedelbart."
"[english]LostParagraph1"	"Two weeks have gone by since local Arque employee Christian Plithe lost his black cat 'Lucky'. He has urged anyone who sees the cat to contact him immediately."
"ScarecrowCompetitionTitle"	"Lokal fågelskrämmetävling på gång"
"[english]ScarecrowCompetitionTitle"	"Local Scarecrow Competition Underway"
"ScarecrowCompetitionParagraph1"	"En av de populäraste tävlingarna som hålls i Redton är tillbaka för sin årliga tradition."
"[english]ScarecrowCompetitionParagraph1"	"One of the most popular competitions Redton holds is back for its annual event."
"ScarecrowCompetitionParagraph2"	"Gemenskapen samlas varje år för att skapa de otäckaste och mest demoniska fågelskrämmorna för att hålla fåglarna borta. Förra årets vinnare var åttaåriga skolpojken Joshua Fento, vars kopia av sin mormor fångade en enad domarpanels tycke."
"[english]ScarecrowCompetitionParagraph2"	"The community comes together every year to create the most fearsome and ghoulish scarecrows to keep away the birds. Last year's winner was eight year old local school boy Joshua Fenton who's representation of his Grandmother won over the panel of judges."
"ScarecrowCompetitionParagraph3"	"Detta år får tävlingens vinnare ett fint utbud av tårtor från Julia Menn, borgmästarens fru, som nyligen öppnade sin egen tårtaffär på ön."
"[english]ScarecrowCompetitionParagraph3"	"This year the winner of the competition gets a fine selection of cakes from Julia Menn, the mayor's wife who recently opened her own cake shop on the island."
"ScarecrowCompetitionParagraph4"	"Festligheterna slutar inte där - hela veckan finns stånd och andra aktiviteter över hela ön. Har du inte sett fågelskrämmorna ännu, häng med ned till den årliga händelsen och se vad allt väsen är och prova något av den bästa maten och drycken Redton har att erbjuda."
"[english]ScarecrowCompetitionParagraph4"	"The festivities don't stop with the scarecrows - that are on display all week, there are stalls and other activities taking place all across the town. If you haven't seen the scarecrows yet head on down to the annual event to see what all the fuss is about and sample some of the finest food and drink Redton has to offer."
"ScarecrowCompetitionParagraph5"	"Om du inte förmår komma och se fågelskrämmorna, läs igenom nästa utgåva där vi kommer att ha fulla redogörelser för varje bidrag."
"[english]ScarecrowCompetitionParagraph5"	"If you can't get down to see the scarecrows check out the next issue, where we will have a full run down of the entries."
"OmnicorpTitle"	"Arque Corporation köper upp Phillips Pharmaceuticals"
"[english]OmnicorpTitle"	"Arque Corporation Acquires Phillips Pharmaceuticals"
"OmnicorpParagraph1"	"30 anställda blev varslade tidigt förra veckan i samband med att jätteföretaget Arque genomförde köpet av läkemedelstillverkaren Phillips Pharmaceuticals. Uppköpet är en följd av den tidigare ägarens publika sammanbrott som resulterade i en jakt på nya investerare."
"[english]OmnicorpParagraph1"	"Thirty workers were handed notices early last week as the giant Arque Corporation completed its acquisition of local pharmaceutical manufacturer Phillips Pharmaceuticals. The buyout follows a very public breakdown of the previous owner, resulting in a search for investors."
}
}
