"lang"
{
"Language"	"portuguese"
"[english]LunchRoomSummary"	"Christian, I can't stop..."
"LunchRoomLine1"	"Christian, não consigo parar de pensar em ti. Desde o momento que te vi pela primeira vez no refeitório, eu sabia que eras o tal. Ainda me lembro daquelas asas de frango gordurosas a tocarem suavemente nos teus lábios... ---------- és um homem muito poderoso. Espero ver-te lá à mesma hora amanhã. Eu estarei a ver..."
"[english]LunchRoomLine1"	"Christian, I can't stop thinking about you. From the moment I first saw you in the lunch room, I knew, you were the one. From the greasy chicken wings slowly rubbing your lips ---------- you're a very powerful man. I hope to see you there the same time tomorrow. I'll be watching..."
"AdmirerName"	"A tua admiradora"
"[english]AdmirerName"	"Your admirer"
"AdmirerAccount"	"Admiradora < anonymous@arque.local >"
"[english]AdmirerAccount"	"Admirer < anonymous@arque.local >"
"WilliamShortAccount"	"William Short < william.short@arque.local >"
"[english]WilliamShortAccount"	"William Short < william.short@arque.local >"
"WilliamShortSig"	"William Short, Gerente de Produção."
"[english]WilliamShortSig"	"William Short, Line Manager."
"WilliamShortTitle"	"RE: Assédio"
"[english]WilliamShortTitle"	"RE: Harassment"
"WilliamShortSummary"	"Christian, comuniquei isto aos RH..."
"[english]WilliamShortSummary"	"Christian, I've reported this to HR..."
"WilliamShortLine1"	"Olá Christian,"
"[english]WilliamShortLine1"	"Hi Christian,"
"WilliamShortLine2"	"Comuniquei isto aos Recursos Humanos e ao Suporte Interno, eles vão tentar localizar a tal \"admiradora\"."
"[english]WilliamShortLine2"	"I've reported this to HR and Internal Support, they're going to try and track down the \"admirer\"."
"WilliamShortLine3"	"Tens de admitir que esta situação toda é hilariante..."
"[english]WilliamShortLine3"	"You have to admit this whole thing is hilarious..."
"ChrisLine1"	"Olá Will,"
"[english]ChrisLine1"	"Hi Will,"
"ChrisLine2"	"Tenho andado a receber estes e-mails muito estranhos de alguém que afirma ser a minha \"admiradora\", e também estão a vir do endereço 'anonymous@arque.local'."
"[english]ChrisLine2"	"I keep getting these very odd emails from someone claiming to be my \"admirer\", they're coming from anonymous@arque.local too."
"ChrisLine3"	"Aqui está um excerto de um deles:"
"[english]ChrisLine3"	"Here's an excerpt from one:"
"ChrisLine4"	"Estou consciente que tivemos as nossas divergências recentemente, mas preciso mesmo de ajuda com isto... de início era estranho, mas agora é completamente assustador. Isto pode contar como uma queixa oficial?"
"[english]ChrisLine4"	"I appreciate that we've had our differences recently, but I need help with this... at first it was weird, now it's downright scary. Can this count as an official complaint?"
"ChrisLine5"	"Christian"
"[english]ChrisLine5"	"Christian"
"MeetMeTitle"	"Porque é que não foste ter comigo?"
"[english]MeetMeTitle"	"Why didn't you meet me?"
"MeetMeSummary"	"Estava sozinha no..."
"[english]MeetMeSummary"	"I was all alone in the..."
"MeetMeLine1"	"Estava sozinha no refeitório, eu queria ver-te a comer, mas não vieste! Estou a assustar-te?"
"[english]MeetMeLine1"	"I was all alone in the lunch room, I wanted to watch you eat but you didn't come! Am I creeping you out?"
"MeetMeLine2"	"Juro que não sou assim... mas olha, podemos tentar de novo amanhã. Eu estarei à espera."
"[english]MeetMeLine2"	"I promise I'm not like that, look, we can try it again tomorrow. I'll be waiting."
"HandledTheManagerTitle"	"Vi a maneira como lidaste com o gerente"
"[english]HandledTheManagerTitle"	"I saw the way you handled the manager"
"HandledTheManagerSummary"	"Gostei mesmo da..."
"[english]HandledTheManagerSummary"	"I really liked the..."
"HandledTheManagerLine1"	"Gostei mesmo da maneira como lidaste com o gerente hoje, ficas uma fera quando te zangas. Também gostei da maneira como o suor corria pelas banhas do teu pescoço... há algo nisso que me cativa."
"[english]HandledTheManagerLine1"	"I really liked the way you handled the manager today, you are a beast when you're angry. I liked the way the sweat rolled off your second chin... there's just something about that."
"JonathanBillyName"	"Jonathan Billy"
"[english]JonathanBillyName"	"Jonathan Billy"
"JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"[english]JonathanBillyAccount"	"Jonathan Billy < jonathan.billy@arque.local >"
"JonathanBillyLine1"	"tas no turnu na sexta?"
"[english]JonathanBillyLine1"	"are u on shift on friday"
"JonathanBillyLine2"	"a minha flha tem uma competissao de nataçao e a mnha mulher diz k tenho d ir. podes me subestituires no turnu?"
"[english]JonathanBillyLine2"	"my dauter has a swiming competiton and wife say that i hav 2 go. can u cover my shift"
"JonathanBillyLine3"	"bigado"
"[english]JonathanBillyLine3"	"thanks"
"JonathanBillyLine4"	"do jono"
"[english]JonathanBillyLine4"	"from jono"
"DavidGravenName"	"David Graven"
"[english]DavidGravenName"	"David Graven"
"DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"[english]DavidGravenAccount"	"David Graven < david.graven@arque.local >"
"DavidGravenTitle1"	"RE: sexta"
"[english]DavidGravenTitle1"	"RE: friday"
"DavidGravenTitle2"	"Caixas"
"[english]DavidGravenTitle2"	"Boxes"
"DavidGravenSummary1"	"Está bem, aproveita o dia :)"
"[english]DavidGravenSummary1"	"That's fine, enjoy the day :)"
"DavidGravenSummary2"	"Podemos transferir algumas das caixas?"
"[english]DavidGravenSummary2"	"Can we shift some of the boxes"
"DavidGravenEmail1"	"Jono,"
"[english]DavidGravenEmail1"	"Jono,"
"DavidGravenEmail2"	"Podemos transferir algumas das caixas para o armazém na Arque Este? Eles dizem que há mais a caminho mas não conseguimos guardar mais aqui dentro - ainda por cima com os contentores aqui. Hei de falar com o Jeff acerca disso... eles devem levar algumas delas cá para cima eventualmente."
"[english]DavidGravenEmail2"	"Can we shift some of the boxes to the warehouse at Arque East? They say there are more to come but we can't fit many more in here - what with the large supply crates too. I'll speak to Jeff about it... they're meant to be taking some upstairs at some point."
"DavidGravenSig"	"Dave"
"[english]DavidGravenSig"	"Dave"
"JonathanBillyTitle"	"sexta"
"[english]JonathanBillyTitle"	"friday"
"JeffHerbandTitle"	"A caminho..."
"[english]JeffHerbandTitle"	"Incoming..."
"JeffHerbandSummary"	"Há mais caixas a caminho"
"[english]JeffHerbandSummary"	"There are more boxes incoming"
"JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"[english]JeffHerbandAccount"	"Jeff Herband < jeff.herband@arque.local >"
"JeffHerbandName"	"Jeff Herband"
"[english]JeffHerbandName"	"Jeff Herband"
"JeffHerbandSig"	"Arque Oeste, Gerente de Armazém"
"[english]JeffHerbandSig"	"Arque West, Warehouse Manager"
"JeffHerbandLine1"	"Há mais caixas a caminho. Lembrem-se de mantê-las bem arrumadas, não queremos que nada se parta."
"[english]JeffHerbandLine1"	"There are more boxes incoming. Just remember to keep them secure, we don't want stuff breaking."
"WentworthHeraldTitle"	"Wentworth Herald"
"[english]WentworthHeraldTitle"	"Wentworth Herald"
"WentworthHeraldTagline"	"O nº 1 em notícias, sociedade, desporto, celebridades, negócios e palavras-cruzadas. O seu jornal, a sua vida."
"[english]WentworthHeraldTagline"	"The first for news, gossip, sport, showbiz, business and crosswords. It's your newspaper, your life."
"MoreOnPage7"	"Mais na página 7"
"[english]MoreOnPage7"	"More on page 7"
"MoreOnPage10"	"Mais na página 10"
"[english]MoreOnPage10"	"More on page 10"
"LighthouseDecomissionedTitle"	"Farol Desativado"
"[english]LighthouseDecomissionedTitle"	"Lighthouse Decommissioned"
"LighthouseDecomissionedParagraph1"	"O farol situado na costa de Redton está agendado para ser desativado em breve pelo presidente da localidade, John Menn, após uma investigação levada a cabo pelo guarda costeiro local."
"[english]LighthouseDecomissionedParagraph1"	"The lighthouse situated in Redton on the land outjut is set to be decommissioned by the local mayor John Menn, following an investigation carried out by the coastguard."
"LighthouseDecomissionedParagraph2"	"\"Estamos confiantes que isto não irá afetar qualquer tráfego que passa na zona\" comentou Bill Hayak, do Departamento de Investigação de Tráfego Marítimo, \"enquanto que há algum tempo era possível ver cargueiros perto da costa de Redton, agora já não é possível devido a rotas comerciais vindas do continente terem sido alteradas\", acrescentou."
"[english]LighthouseDecomissionedParagraph2"	"\"We're confident that this won't impact any passing traffic\" commented Bill Hayak of the Department of Maritime Traffic Investigation. \"Whilst at one time you could see cargo ships just off the coast of Redton, now it's no longer the case with shipping routes from the mainland being altered\" he added."
"LighthouseDecomissionedParagraph3"	"Quando interrogado, o presidente recusou-se a comentar sobre o assunto até que uma declaração oficial acerca do encerramento do farol fosse publicada."
"[english]LighthouseDecomissionedParagraph3"	"When questioned the mayor refused to comment until he had released an official statement about the closure of the lighthouse."
"LighthouseDecomissionedParagraph4"	"Os residentes locais não estão contentes com a notícia, um residente local mostrou-se preocupado com os seus efeitos em navios pequenos que ainda descarregam mercadorias na ilha, afirmando que este foi o último prego no caixão para o sossegado porto da ilha. \"Impede muitas das transações que são efetuadas na ilha\", disse ele."
"[english]LighthouseDecomissionedParagraph4"	"Local residents aren't happy with the change, one local resident was concerned about its effects on small trade vessels that still port at the island, saying that it was the final nail in the coffin for the island's quiet dock. \"It stops a lot of the island's business\" he said."
"LighthouseDecomissionedParagraph5"	"Algumas vezes o farol é a única coisa que permite com que navios mais pequenos venham e negociem com comerciantes locais, é algo com que todos nós estamos preocupados - o que acontecerá quando não houverem mais negócios de importação aqui?"
"[english]LighthouseDecomissionedParagraph5"	"Sometimes the lighthouse is the only thing that allows smaller vessels to come and trade with local businesses, it's something that we're all worried about - what happens when there's no import business left here?"
"LighthouseDecomissionedQuote"	"\"Não há navios suficientes para que isto seja considerado um problema de segurança\", afirma o guarda costeiro"
"[english]LighthouseDecomissionedQuote"	"\"Too few\" ships to be safety issue, says coastguard"
"LostTitle"	"Perdido"
"[english]LostTitle"	"Lost"
"LostParagraph1"	"Já passaram duas semanas desde que Christian Plithe, um empregado local da Arque perdeu o seu gato preto 'Lucky'. Christian encoraja àqueles que virem o gato para contactá-lo imediatamente."
"[english]LostParagraph1"	"Two weeks have gone by since local Arque employee Christian Plithe lost his black cat 'Lucky'. He has urged anyone who sees the cat to contact him immediately."
"ScarecrowCompetitionTitle"	"Competição Local de Espantalhos a Decorrer"
"[english]ScarecrowCompetitionTitle"	"Local Scarecrow Competition Underway"
"ScarecrowCompetitionParagraph1"	"Uma das competições mais populares de Redton está de volta para a sua edição deste ano."
"[english]ScarecrowCompetitionParagraph1"	"One of the most popular competitions Redton holds is back for its annual event."
"ScarecrowCompetitionParagraph2"	"A comunidade junta-se todos os anos para criar alguns dos espantalhos mais assustadores e mórbidos para afastar as aves. O vencedor do ano passado foi Joshua Fenton, um aluno de oito anos cuja representação visual da sua avó conquistou o júri."
"[english]ScarecrowCompetitionParagraph2"	"The community comes together every year to create the most fearsome and ghoulish scarecrows to keep away the birds. Last year's winner was eight year old local school boy Joshua Fenton who's representation of his Grandmother won over the panel of judges."
"ScarecrowCompetitionParagraph3"	"O vencedor da competição deste ano receberá uma bela variedade de bolos da Julia Menn, a esposa do presidente que abriu recentemente a sua pastelaria na ilha."
"[english]ScarecrowCompetitionParagraph3"	"This year the winner of the competition gets a fine selection of cakes from Julia Menn, the mayor's wife who recently opened her own cake shop on the island."
"ScarecrowCompetitionParagraph4"	"Mas as festividades não acabam com os espantalhos - que estão em exposição durante a semana inteira; também há barracas de jogos e de comida, e outras atividades a decorrer em diversos locais na vila. Se ainda não viu os espantalhos, dirija-se ao evento para ver o porquê de tanto alarido e prove alguns dos melhores pratos e bebidas que Redton tem para oferecer."
"[english]ScarecrowCompetitionParagraph4"	"The festivities don't stop with the scarecrows - that are on display all week, there are stalls and other activities taking place all across the town. If you haven't seen the scarecrows yet head on down to the annual event to see what all the fuss is about and sample some of the finest food and drink Redton has to offer."
"ScarecrowCompetitionParagraph5"	"Se não puder vir até Redton para ver os espantalhos, pode verificar a próxima edição, onde vamos apresentar uma análise completa das criações dos participantes."
"[english]ScarecrowCompetitionParagraph5"	"If you can't get down to see the scarecrows check out the next issue, where we will have a full run down of the entries."
"OmnicorpTitle"	"Arque Completa Aquisição da Phillips Pharmaceuticals"
"[english]OmnicorpTitle"	"Arque Corporation Acquires Phillips Pharmaceuticals"
"OmnicorpParagraph1"	"Trinta trabalhadores foram notificados no início da semana passada quando a empresa gigante 'Arque Corporation' completou a aquisição do fabricante farmacêutico local 'Phillips Pharmaceuticals'. A aquisição ocorreu após o dono anterior ter tido um colapso emocional em público, resultando num aumento de procura para investidores."
"[english]OmnicorpParagraph1"	"Thirty workers were handed notices early last week as the giant Arque Corporation completed its acquisition of local pharmaceutical manufacturer Phillips Pharmaceuticals. The buyout follows a very public breakdown of the previous owner, resulting in a search for investors."
}
}
